Items  Description,Duration,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,Andaman & Nicobar Islands,Chandigarh,Delhi,Puducherry,All_India GDP,
GSDP - CURRENT PRICES (` in Crore),2011-12,379402,11063,143175,247144,158074,42367,615606,297539,72720,78254,150918,603778,364048,315561,1272967,12915,19918,7259,11839,227872,266628,436465,11165,751485,359433,19208,724049,115523,3979,18768,343767,16818,8736039,8099707
GSDP - CURRENT PRICES (` in Crore),2012-13,411404,12547,156864,282368,177511,38120,724495,347032,82820,87105,174724,691700,412313,380924,1448466,13748,21872,8362,13619,258275,297734,494004,12338,855481,401493,21663,822903,131835,4421,21609,391238,18875,9946636,9217863
GSDP - CURRENT PRICES (` in Crore),2013-14,464272,14602,177745,317101,206690,35921,807623,400662,94764,95893,188567,817886,465041,437737,1647506,16198,22938,10293,16612,291709,334714,549701,13862,971090,452186,25593,944146,149817,5159,24787,443783,21870,11236635,10466468
GSDP - CURRENT PRICES (` in Crore),2014-15,526468,16761,198098,373920,234982,40633,895027,437462,104369,100404,217107,921788,526002,481982,1792122,18043,24408,11559,18414,321971,368011,612194,15209,1092564,511178,29667,1043371,161985,5721,27844,492424,24089,12433749,11645777
GSDP - CURRENT PRICES (` in Crore),2015-16,609934,18784,224234,413503,260776,45002,994316,485184,NA,118387,241955,1027068,588337,543975,NA,NA,26745,NA,NA,341887,NA,NA,16637,1212668,575631,NA,1153795,184091,NA,30304,551963,26533,13675331,9691709
(% Growth over previous year),2012-13,8.43,13.41,9.56,14.25,12.3,-10.02,17.69,16.63,13.89,11.31,15.77,14.56,13.26,20.71,13.79,6.45,9.81,15.2,15.03,13.34,11.67,13.18,10.51,13.84,11.7,12.78,13.65,14.12,11.13,15.14,13.81,12.23,13.86,
(% Growth over previous year),2013-14,12.85,16.38,13.31,12.3,16.44,-5.77,11.47,15.45,14.42,10.09,7.92,18.24,12.79,14.91,13.74,17.83,4.87,23.1,21.98,12.95,12.42,11.27,12.35,13.51,12.63,18.14,14.73,13.64,16.68,14.71,13.43,15.87,12.97,
(% Growth over previous year),2014-15,13.4,14.79,11.45,17.92,13.69,13.12,10.82,9.18,10.14,4.7,15.14,12.7,13.11,10.11,8.78,11.39,6.41,12.3,10.85,10.37,9.95,11.37,9.72,12.51,13.05,15.92,10.51,8.12,10.89,12.33,10.96,10.14,10.65,
(% Growth over previous year),2015-16,15.85,12.07,13.19,10.59,10.98,10.75,11.09,10.91,NA,17.91,11.44,11.42,11.85,12.86,NA,NA,9.58,NA,NA,6.19,NA,NA,9.39,10.99,12.61,NA,10.58,13.65,NA,8.84,12.09,10.15,9.99,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,,609934,18784,224234,413503,260776,45002,994316,485184,88668,118387,241955,1027068,588337,543975,1540265,15226,26745,9368,15121,341887,316772,523091,16637,1212668,575631,24033,1153795,184091,4820,30304,551963,26533,13675331,12229073.25
Same as last year growth rate,,609934,18784,224234,413503,260776,45002,994316,485184,114952,118387,241955,1027068,588337,543975,1949470,20098,26745,12981,20412,341887,404628,681800,16637,1212668,575631,34390,1153795,184091,6344,30304,551963,26533,13675331,12936784.66
Guessing % Growth,,15.89,15.48,12.40,19.76,14.39,24.69,7.39,5.46,8.27,1.40,14.83,11.77,13.04,4.81,6.28,13.86,4.71,10.85,8.76,8.89,9.09,10.47,9.33,11.85,13.73,17.49,8.94,5.12,10.93,9.54,9.10,9.05,,
,,609934,18784,224234,413503,260776,45002,994316,485184,112995,118387,241955,1027068,588337,543975,1904578,20544,26745,12813,20027,341887,401463,676260,16637,1212668,575631,34856,1153795,184091,6346,30304,551963,26533,13675331,12881590.81
Actuals from Wiki,,604229,18509,227959,371602,227383,55054,1029010,495249,114239,117168,206613,1045168,561994,541189,1966147,19531,25117,15139,19524,328550,390087,681485,18034,1176500,577902,35938,1137210,177163,6032,29280,550804,26617,13675331,12796426
Mean,,,,,,,,,,22%,,,,,,22%,22%,,38%,23%,,19%,23%,,,,33%,,,20%,,,,,
Same as last year growth rate,,,,,,,,,,-1%,,,,,,1%,-3%,,14%,-5%,,-4%,0%,,,,4%,,,-5%,,,,,
Guessing % Growth,,,,,,,,,,1%,,,,,,3%,-5%,,15%,-3%,,-3%,1%,,,,3%,,,-5%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,632070,,,,,,,,129614.6667,,,,,,,,,,,,,,,,,,,,,,,,,
